MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
"1","KSPO건강체력","어르신","출장","67","관리자","참가","20230701","M"
"1","KSPO송파","청소년","출장","14","관리자","참가","20230701","F"
"1","KSPO대구","성인","일반","19","관리자","2등급","20230701","M"
"3","KSPO아산","성인","일반","59","관리자","2등급","20230701","F"
"1","남구(부산)","성인","일반","32","관리자","2등급","20230701","F"
"3","화성","성인","일반","33","관리자","3등급","20230701","M"
"1","전주","성인","일반","35","관리자","3등급","20230701","F"
"1","KSPO아산","성인","일반","51","관리자","3등급","20230701","M"
"3","KSPO아산","성인","일반","64","관리자","2등급","20230701","M"
"1","KSPO건강체력","성인","출장","22","관리자","참가","20230701","F"
"8","성동","성인","일반","44","관리자","3등급","20230701","F"
"1","KSPO건강체력","성인","출장","39","관리자","참가","20230701","F"
"1","KSPO송파","청소년","출장","15","관리자","1등급","20230701","M"
"1","KSPO건강체력","성인","출장","44","관리자","참가","20230701","F"
"2","KSPO아산","성인","일반","30","관리자","참가","20230701","F"
"3","스포원(금정)","성인","일반","44","관리자","참가","20230701","M"
"1","남구(부산)","성인","일반","31","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","58","관리자","참가","20230701","F"
"1","KSPO대구","성인","일반","47","관리자","참가","20230701","F"
"1","남구(부산)","성인","일반","48","관리자","참가","20230701","F"
"1","구미","성인","일반","33","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","30","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","27","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","30","관리자","참가","20230701","F"
"1","동구(부산)","성인","일반","30","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","28","관리자","참가","20230701","M"
"1","KSPO광주","성인","일반","19","관리자","3등급","20230701","M"
"1","KSPO건강체력","성인","출장","59","관리자","참가","20230701","F"
"1","KSPO아산","성인","일반","53","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","25","관리자","참가","20230701","M"
"1","전주","성인","일반","52","관리자","참가","20230701","F"
"1","KSPO대구","성인","일반","22","관리자","참가","20230701","M"
"2","연제","성인","일반","27","관리자","2등급","20230701","F"
"1","남구(부산)","성인","일반","20","관리자","참가","20230701","M"
"2","구미","성인","일반","39","관리자","2등급","20230701","F"
"1","KSPO건강체력","성인","출장","61","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","60","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","23","관리자","참가","20230701","M"
"1","KSPO건강체력","어르신","출장","80","관리자","참가","20230701","M"
"1","남구(부산)","성인","일반","33","관리자","3등급","20230701","F"
"2","KSPO건강체력","성인","출장","55","관리자","참가","20230701","F"
"1","전주","성인","일반","32","관리자","참가","20230701","M"
"1","KSPO건강체력","어르신","출장","73","관리자","참가","20230701","M"
"1","KSPO송파","청소년","출장","14","관리자","참가","20230701","M"
"1","남구(부산)","성인","일반","29","관리자","1등급","20230701","F"
"1","KSPO건강체력","성인","출장","61","관리자","참가","20230701","F"
"2","성동","성인","일반","34","관리자","참가","20230701","F"
"2","KSPO대구","성인","일반","44","관리자","2등급","20230701","F"
"1","성동","성인","일반","25","관리자","참가","20230701","F"
"1","구미","성인","일반","28","관리자","참가","20230701","F"
"1","KSPO송파","성인","일반","48","관리자","참가","20230701","F"
"1","화성","성인","일반","28","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","42","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","22","관리자","참가","20230701","M"
"2","성동","성인","일반","47","관리자","참가","20230701","M"
"2","화성","성인","일반","27","관리자","참가","20230701","M"
"1","KSPO광주","성인","일반","30","관리자","2등급","20230701","M"
"1","KSPO건강체력","성인","출장","41","관리자","참가","20230701","F"
"1","KSPO대구","성인","일반","58","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","29","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","50","관리자","참가","20230701","F"
"2","성동","성인","일반","39","관리자","3등급","20230701","M"
"1","KSPO아산","청소년","일반","17","관리자","2등급","20230701","M"
"1","KSPO대구","성인","일반","56","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","53","관리자","참가","20230701","F"
"3","구미","성인","일반","33","관리자","1등급","20230701","M"
"4","KSPO광주","청소년","일반","18","관리자","3등급","20230701","M"
"1","KSPO건강체력","성인","출장","23","관리자","참가","20230701","M"
"1","KSPO건강체력","어르신","출장","68","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","56","관리자","참가","20230701","F"
"1","성동","성인","일반","39","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","48","관리자","참가","20230701","F"
"1","동구(부산)","성인","일반","32","관리자","2등급","20230701","M"
"1","KSPO건강체력","성인","출장","50","관리자","참가","20230701","F"
"2","연제","청소년","일반","17","관리자","참가","20230701","M"
"1","KSPO건강체력","어르신","출장","71","관리자","참가","20230701","F"
"2","남구(부산)","성인","일반","50","관리자","참가","20230701","M"
"2","KSPO건강체력","성인","출장","61","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","41","관리자","참가","20230701","F"
"5","KSPO아산","성인","일반","49","관리자","1등급","20230701","F"
"1","KSPO건강체력","성인","출장","27","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","24","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","40","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","32","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","47","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","46","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","23","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","22","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","35","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","24","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","23","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","25","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","28","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","19","관리자","참가","20230701","M"
"1","스포원(금정)","성인","일반","48","관리자","참가","20230701","M"
"1","KSPO송파","청소년","출장","14","관리자","참가","20230701","F"
"1","스포원(금정)","성인","일반","24","관리자","3등급","20230701","F"
"1","남구(부산)","성인","일반","21","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","54","관리자","참가","20230701","F"
"3","KSPO대구","성인","일반","36","관리자","3등급","20230701","M"
"1","KSPO건강체력","어르신","출장","71","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","25","관리자","참가","20230701","M"
"1","성동","성인","일반","40","관리자","참가","20230701","M"
"3","구미","성인","일반","31","관리자","2등급","20230701","F"
"1","KSPO건강체력","어르신","출장","69","관리자","참가","20230701","F"
"1","KSPO건강체력","성인","출장","57","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","45","관리자","참가","20230701","M"
"1","KSPO광주","성인","일반","30","관리자","참가","20230701","M"
"1","화성","성인","일반","23","관리자","1등급","20230701","M"
"1","KSPO송파","청소년","출장","15","관리자","3등급","20230701","F"
"1","KSPO송파","청소년","출장","15","관리자","2등급","20230701","F"
"1","연제","성인","일반","41","관리자","3등급","20230701","M"
"1","KSPO대구","성인","일반","20","관리자","참가","20230701","M"
"1","KSPO건강체력","성인","출장","48","관리자","참가","20230701","M"
"3","KSPO아산","청소년","일반","18","관리자","참가","20230701","M"
"1","구미","성인","일반","57","관리자","참가","20230701","F"
"1","KSPO송파","성인","일반","61","관리자","참가","20230701","F"
"4","연제","성인","일반","52","관리자","3등급","20230701","M"
"1","KSPO송파","청소년","출장","15","관리자","1등급","20230701","M"
