MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
1,군산,성인,일반,20,관리자,참가증,20230201,F
1,포항,성인,일반,24,관리자,참가증,20230201,M
2,오산,노인,일반,67,관리자,2등급,20230201,F
8,오산,노인,일반,68,관리자,2등급,20230201,F
1,사하,성인,일반,22,관리자,참가증,20230201,M
1,성동,유소년,출장,12,관리자,2등급,20230201,F
1,성동,유소년,출장,12,관리자,참가증,20230201,M
1,경산,성인,일반,59,관리자,참가증,20230201,F
2,남구(울산),성인,일반,26,관리자,참가증,20230201,M
1,수원,성인,일반,29,측정기기,참가증,20230201,F
2,연제,성인,일반,23,측정기기,참가증,20230201,M
2,연제,성인,일반,22,측정기기,참가증,20230201,M
1,삼척,성인,일반,28,관리자,참가증,20230201,M
0,포천,유소년,출장,12,관리자,3등급,20230201,M
4,서초,성인,일반,45,관리자,참가증,20230201,F
1,남구(부산),성인,일반,22,관리자,참가증,20230201,F
3,남구(부산),청소년,일반,18,관리자,2등급,20230201,M
1,창원,노인,일반,70,관리자,참가증,20230201,F
1,동구(광주),성인,출장,47,관리자,3등급,20230201,M
2,부천,성인,일반,61,관리자,1등급,20230201,F
1,안산,성인,일반,54,관리자,참가증,20230201,F
2,연제,성인,일반,29,측정기기,2등급,20230201,M
1,광주,노인,일반,76,측정기기,2등급,20230201,M
1,김천,성인,일반,21,관리자,3등급,20230201,M
42,달서,성인,일반,47,인바디,3등급,20230201,F
1,순천,성인,일반,59,관리자,3등급,20230201,M
7,서구(광주),성인,일반,62,관리자,1등급,20230201,F
1,동구(광주),성인,출장,36,관리자,참가증,20230201,M
2,춘천,성인,출장,42,관리자,3등급,20230201,F
1,남구(울산),성인,일반,31,관리자,참가증,20230201,F
2,부천,노인,일반,71,관리자,2등급,20230201,M
1,성동,유소년,출장,12,관리자,참가증,20230201,M
1,성동,유소년,출장,11,관리자,3등급,20230201,F
1,성동,유소년,출장,11,관리자,참가증,20230201,M
1,성동,유소년,출장,12,관리자,2등급,20230201,F
1,성동,유소년,출장,12,관리자,3등급,20230201,M
1,성동,유소년,출장,12,관리자,참가증,20230201,F
1,서구(대전),성인,일반,29,관리자,참가증,20230201,M
6,김천,성인,일반,52,관리자,참가증,20230201,F
1,성동,유소년,출장,12,관리자,3등급,20230201,F
1,성동,유소년,출장,11,관리자,참가증,20230201,F
1,성동,유소년,출장,11,관리자,참가증,20230201,M
1,성동,유소년,출장,11,관리자,2등급,20230201,F
1,고양,노인,일반,67,관리자,2등급,20230201,M
1,안산,성인,일반,24,관리자,참가증,20230201,F
1,안산,성인,일반,61,관리자,3등급,20230201,F
1,성동,유소년,출장,11,관리자,참가증,20230201,M
1,성동,유소년,출장,11,관리자,참가증,20230201,F
1,성동,유소년,출장,11,관리자,3등급,20230201,F
1,태백,성인,일반,25,관리자,3등급,20230201,M
1,제주,성인,일반,61,관리자,참가증,20230201,F
1,마포,노인,일반,65,관리자,참가증,20230201,F
1,성동,유소년,출장,12,관리자,2등급,20230201,M
5,광주,노인,일반,77,측정기기,3등급,20230201,M
1,동구(부산),성인,일반,27,측정기기,참가증,20230201,F
1,남구(울산),성인,일반,19,관리자,3등급,20230201,M
7,동작,노인,일반,70,관리자,2등급,20230201,M
1,성동,유소년,출장,12,관리자,참가증,20230201,M
1,성동,유소년,출장,12,관리자,참가증,20230201,F
1,성동,유소년,출장,12,관리자,참가증,20230201,F
1,스포원(금정),성인,일반,38,인바디,참가증,20230201,F
1,성동,유소년,출장,12,관리자,참가증,20230201,F
1,마포,성인,일반,62,관리자,참가증,20230201,M
1,성동,유소년,출장,12,관리자,3등급,20230201,M
1,성동,유소년,출장,12,관리자,1등급,20230201,F
1,성동,유소년,출장,12,관리자,3등급,20230201,F
1,성동,유소년,출장,12,관리자,참가증,20230201,F
1,성동,유소년,출장,12,관리자,참가증,20230201,F
1,성동,유소년,출장,12,관리자,2등급,20230201,F
1,연제,성인,일반,26,측정기기,3등급,20230201,F
5,안산,노인,일반,71,관리자,3등급,20230201,M
1,안산,성인,일반,28,관리자,2등급,20230201,F
1,세종,성인,일반,27,관리자,2등급,20230201,F
1,포천,청소년,출장,18,관리자,3등급,20230201,M
1,순천,노인,일반,72,관리자,3등급,20230201,M
1,중구(서울),성인,일반,20,측정기기,참가증,20230201,F
1,포천,청소년,출장,16,관리자,참가증,20230201,M
1,청주,성인,일반,24,관리자,3등급,20230201,F
1,동구(광주),성인,출장,46,관리자,참가증,20230201,M
2,부천,성인,일반,28,관리자,3등급,20230201,M
1,성동,유소년,출장,11,관리자,1등급,20230201,F
1,성동,유소년,출장,11,관리자,3등급,20230201,F
1,강릉,청소년,일반,18,관리자,3등급,20230201,F
3,고양,노인,일반,68,관리자,3등급,20230201,M
1,성동,유소년,출장,12,관리자,3등급,20230201,M
1,성동,유소년,출장,12,관리자,참가증,20230201,M
1,성동,유소년,출장,12,관리자,참가증,20230201,M
1,서대문,노인,일반,74,관리자,3등급,20230201,M
3,연제,성인,일반,26,측정기기,2등급,20230201,M
9,곡성,노인,일반,72,관리자,3등급,20230201,F
1,의정부,성인,일반,59,관리자,3등급,20230201,F
2,전주,성인,일반,19,관리자,참가증,20230201,M
1,미추홀,노인,일반,66,관리자,3등급,20230201,M
1,성동,유소년,출장,11,관리자,참가증,20230201,M
4,고양,노인,일반,69,관리자,2등급,20230201,F
1,동작,성인,일반,19,관리자,3등급,20230201,M
2,곡성,노인,일반,82,관리자,참가증,20230201,F
1,광주,성인,일반,22,측정기기,참가증,20230201,M
1,곡성,노인,일반,79,관리자,2등급,20230201,F
1,오산,성인,일반,24,관리자,참가증,20230201,F
