MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
1,강북,성인,일반,61,측정기기,참가증,20230302,M
1,전주,성인,출장,38,관리자,참가증,20230302,M
2,구미,성인,일반,20,관리자,참가증,20230302,M
1,전주,성인,출장,34,관리자,참가증,20230302,M
3,사상,성인,일반,29,관리자,참가증,20230302,M
1,전주,성인,출장,34,관리자,참가증,20230302,F
1,전주,성인,일반,39,관리자,2등급,20230302,F
1,사하,성인,일반,36,관리자,2등급,20230302,M
2,포천,노인,출장,80,관리자,참가증,20230302,F
1,포천,노인,출장,69,관리자,1등급,20230302,F
1,포천,노인,출장,74,관리자,참가증,20230302,F
1,동작,성인,일반,50,관리자,참가증,20230302,F
1,포천,노인,출장,72,관리자,3등급,20230302,F
1,동작,성인,일반,50,관리자,참가증,20230302,F
1,포천,노인,출장,73,관리자,참가증,20230302,F
1,포천,노인,출장,76,관리자,1등급,20230302,F
1,포천,노인,출장,74,관리자,참가증,20230302,F
1,포천,노인,출장,75,관리자,3등급,20230302,F
1,포천,노인,출장,77,관리자,3등급,20230302,F
1,포천,노인,출장,73,관리자,1등급,20230302,M
1,포천,노인,출장,67,관리자,2등급,20230302,F
1,포천,노인,출장,70,관리자,3등급,20230302,F
1,포천,노인,출장,68,관리자,3등급,20230302,F
1,포천,노인,출장,74,관리자,1등급,20230302,F
1,포천,노인,출장,68,관리자,2등급,20230302,F
1,포천,노인,출장,65,관리자,3등급,20230302,F
1,포천,노인,출장,80,관리자,참가증,20230302,F
1,포천,노인,출장,67,관리자,3등급,20230302,F
1,포천,노인,출장,77,관리자,참가증,20230302,F
1,포천,노인,출장,72,관리자,2등급,20230302,M
1,포천,노인,출장,74,관리자,참가증,20230302,F
1,포천,노인,출장,70,관리자,2등급,20230302,F
1,포천,노인,출장,66,관리자,참가증,20230302,F
1,포천,노인,출장,75,관리자,참가증,20230302,F
1,포천,노인,출장,73,관리자,참가증,20230302,F
1,KSPO송파,노인,일반,73,관리자,2등급,20230302,F
1,포천,노인,출장,65,관리자,3등급,20230302,F
1,포천,노인,출장,70,관리자,2등급,20230302,F
1,포천,노인,출장,68,관리자,참가증,20230302,F
1,포천,노인,출장,66,관리자,2등급,20230302,F
1,원주,성인,출장,24,관리자,참가증,20230302,M
3,성동,노인,일반,65,관리자,2등급,20230302,M
1,강북,성인,일반,25,측정기기,3등급,20230302,M
1,중구(서울),성인,일반,26,측정기기,3등급,20230302,F
1,안산,성인,일반,25,관리자,참가증,20230302,F
1,동구(인천),성인,일반,24,측정기기,3등급,20230302,F
1,성동,성인,일반,31,관리자,참가증,20230302,F
10,동구(인천),노인,일반,65,측정기기,2등급,20230302,M
1,목포,노인,일반,73,관리자,참가증,20230302,M
5,서대문,노인,일반,82,관리자,참가증,20230302,M
2,서대문,노인,일반,65,관리자,참가증,20230302,M
7,서대문,노인,일반,67,관리자,1등급,20230302,M
1,청주,성인,일반,60,관리자,참가증,20230302,F
1,사천,성인,일반,28,관리자,참가증,20230302,F
1,KSPO송파(출장A),성인,출장,25,관리자,참가증,20230302,F
3,경산,성인,일반,26,관리자,참가증,20230302,M
1,세종,성인,일반,19,관리자,참가증,20230302,M
1,북구(광주),성인,출장,24,관리자,참가증,20230302,M
4,삼척,성인,출장,60,관리자,참가증,20230302,F
1,북구(광주),성인,출장,41,관리자,참가증,20230302,M
1,KSPO송파(출장A),성인,출장,31,관리자,참가증,20230302,F
9,시흥,노인,일반,71,관리자,참가증,20230302,M
1,고양,성인,일반,52,관리자,참가증,20230302,M
2,양평,노인,일반,72,측정기기,2등급,20230302,M
1,고양,성인,일반,55,관리자,참가증,20230302,F
2,KSPO송파,노인,일반,75,관리자,2등급,20230302,M
1,중구(서울),성인,일반,55,측정기기,참가증,20230302,M
1,성동,노인,일반,65,관리자,2등급,20230302,M
3,창원,성인,일반,57,관리자,참가증,20230302,F
2,광주,성인,일반,36,측정기기,1등급,20230302,M
1,광주,성인,일반,24,측정기기,참가증,20230302,M
2,KSPO대구,성인,일반,25,측정기기,1등급,20230302,M
1,서대문,성인,일반,52,측정기기,참가증,20230302,M
1,KSPO대구,노인,일반,70,측정기기,1등급,20230302,F
4,양평,노인,일반,70,측정기기,3등급,20230302,F
4,동구(광주),노인,일반,70,관리자,2등급,20230302,M
3,의정부,노인,일반,67,관리자,1등급,20230302,M
1,화성,성인,일반,28,관리자,참가증,20230302,M
4,고양,노인,일반,69,관리자,3등급,20230302,F
1,동구(부산),성인,일반,29,측정기기,참가증,20230302,M
5,KSPO송파,성인,일반,61,관리자,2등급,20230302,M
1,연수,청소년,출장,16,관리자,참가증,20230302,M
1,안산,성인,일반,36,관리자,3등급,20230302,F
1,연수,청소년,출장,15,관리자,참가증,20230302,F
1,연수,청소년,출장,16,관리자,참가증,20230302,M
1,연수,청소년,출장,15,관리자,참가증,20230302,F
1,오산,성인,일반,56,관리자,2등급,20230302,F
2,성남,청소년,일반,18,관리자,참가증,20230302,M
1,KSPO송파(출장A),성인,출장,41,관리자,참가증,20230302,M
1,KSPO송파(출장A),성인,출장,31,관리자,참가증,20230302,M
3,목포,성인,일반,20,관리자,1등급,20230302,M
2,구미,성인,일반,37,관리자,참가증,20230302,M
2,동작,성인,일반,59,관리자,3등급,20230302,M
1,춘천,성인,일반,54,관리자,참가증,20230302,M
1,KSPO송파,성인,일반,19,관리자,1등급,20230302,M
6,강북,노인,일반,66,측정기기,3등급,20230302,M
2,춘천,성인,일반,44,관리자,참가증,20230302,F
1,KSPO대구,노인,일반,78,측정기기,2등급,20230302,M
1,원주,성인,출장,24,관리자,참가증,20230302,M
3,스포원(금정),성인,일반,47,인바디,2등급,20230302,M
2,북구(광주),성인,출장,22,관리자,3등급,20230302,M
2,성남,청소년,일반,18,관리자,1등급,20230302,M
2,성남,청소년,일반,17,관리자,1등급,20230302,M
2,성남,청소년,일반,17,관리자,1등급,20230302,F
2,성남,청소년,일반,17,관리자,1등급,20230302,F
2,성남,청소년,일반,17,관리자,1등급,20230302,M
2,성남,청소년,일반,17,관리자,1등급,20230302,F
1,남구(울산),성인,일반,26,관리자,3등급,20230302,M
2,성남,청소년,일반,18,관리자,2등급,20230302,M
2,성남,청소년,일반,17,관리자,1등급,20230302,M
2,성남,청소년,일반,16,관리자,1등급,20230302,F
1,KSPO송파(출장A),성인,출장,32,관리자,참가증,20230302,F
1,의정부,노인,일반,65,관리자,3등급,20230302,F
3,화성,노인,일반,67,관리자,3등급,20230302,F
1,동작,성인,일반,26,관리자,2등급,20230302,F
1,화성,성인,일반,29,관리자,참가증,20230302,M
1,원주,성인,일반,30,관리자,1등급,20230302,M
1,부천,노인,일반,73,관리자,3등급,20230302,M
4,부천,노인,일반,70,관리자,1등급,20230302,F
1,삼척,노인,출장,67,관리자,참가증,20230302,F
2,삼척,노인,출장,71,관리자,참가증,20230302,F
1,군산,성인,일반,64,관리자,참가증,20230302,F
4,춘천,청소년,일반,18,관리자,3등급,20230302,M
1,순천,노인,일반,69,관리자,참가증,20230302,F
1,서구(광주),성인,출장,52,관리자,참가증,20230302,F
1,미추홀,성인,일반,32,관리자,참가증,20230302,M
1,동구(인천),성인,일반,36,측정기기,참가증,20230302,M
2,스포원(금정),성인,일반,33,인바디,참가증,20230302,M
1,KSPO송파(출장A),성인,출장,28,관리자,3등급,20230302,M
3,순천,성인,일반,63,관리자,참가증,20230302,F
1,고양,성인,일반,54,관리자,참가증,20230302,F
1,춘천,성인,일반,35,관리자,2등급,20230302,M
6,창원,성인,일반,25,관리자,2등급,20230302,F
2,서구(대전),성인,일반,44,관리자,참가증,20230302,M
2,춘천,성인,일반,61,관리자,참가증,20230302,M
1,북구(광주),성인,출장,47,관리자,참가증,20230302,M
1,성동,노인,일반,72,관리자,2등급,20230302,M
1,KSPO송파(출장A),성인,출장,30,관리자,참가증,20230302,F
1,KSPO아산,성인,일반,61,측정기기,3등급,20230302,M
2,고양,성인,일반,50,관리자,참가증,20230302,F
1,성동,성인,일반,51,관리자,참가증,20230302,F
1,영주,성인,일반,63,측정기기,3등급,20230302,F
1,스포원(금정),성인,일반,31,인바디,참가증,20230302,M
1,스포원(금정),노인,일반,67,인바디,참가증,20230302,M
3,순천,노인,일반,73,관리자,2등급,20230302,F
1,북구(광주),성인,출장,24,관리자,참가증,20230302,M
1,KSPO송파(출장A),성인,출장,27,관리자,참가증,20230302,F
1,수원,성인,일반,23,측정기기,1등급,20230302,F
5,강북,성인,일반,40,측정기기,참가증,20230302,M
1,안산,성인,일반,52,관리자,참가증,20230302,F
1,천안,성인,일반,63,관리자,참가증,20230302,F
3,강북,노인,일반,66,측정기기,1등급,20230302,M
1,연제,성인,일반,50,측정기기,참가증,20230302,F
5,양평,노인,일반,76,측정기기,2등급,20230302,M
1,서구(대전),성인,일반,26,관리자,3등급,20230302,M
1,춘천,성인,일반,19,관리자,3등급,20230302,F
5,성남,노인,일반,77,관리자,1등급,20230302,F
1,김천,성인,일반,32,관리자,참가증,20230302,M
2,경산,성인,일반,20,관리자,3등급,20230302,F
1,청주,노인,일반,70,관리자,3등급,20230302,F
4,중구(서울),성인,일반,27,측정기기,참가증,20230302,M
1,전주,성인,출장,31,관리자,참가증,20230302,M
1,강북,성인,일반,59,측정기기,참가증,20230302,F
1,연수,청소년,출장,16,관리자,3등급,20230302,F
1,경산,성인,일반,29,측정기기,참가증,20230302,F
1,KSPO송파(출장A),성인,출장,32,관리자,참가증,20230302,F
1,KSPO송파(출장A),성인,출장,27,관리자,참가증,20230302,M
1,달서,성인,일반,58,인바디,참가증,20230302,M
1,남구(울산),성인,일반,29,관리자,참가증,20230302,M
1,증평,성인,일반,26,관리자,참가증,20230302,M
1,서대문,노인,일반,65,측정기기,2등급,20230302,M
1,KSPO송파,성인,일반,22,관리자,참가증,20230302,F
1,KSPO송파,성인,일반,61,관리자,참가증,20230302,F
1,KSPO송파(출장A),성인,출장,27,관리자,참가증,20230302,F
1,성동,노인,일반,65,관리자,3등급,20230302,M
4,동작,노인,일반,77,관리자,1등급,20230302,M
1,KSPO송파,성인,일반,27,관리자,3등급,20230302,F
1,KSPO송파(출장A),성인,출장,28,관리자,3등급,20230302,M
4,부천,노인,일반,76,관리자,2등급,20230302,M
2,오산,노인,일반,77,관리자,3등급,20230302,M
1,KSPO광주,성인,일반,26,관리자,참가증,20230302,F
1,고양,성인,일반,53,관리자,참가증,20230302,F
1,광주,노인,일반,73,측정기기,2등급,20230302,M
2,익산,성인,일반,23,관리자,3등급,20230302,M
2,오산,노인,일반,73,관리자,2등급,20230302,M
2,수원,성인,일반,26,측정기기,참가증,20230302,M
1,중구(서울),성인,일반,21,측정기기,참가증,20230302,M
1,KSPO대구,성인,일반,56,측정기기,참가증,20230302,F
1,서대문,성인,일반,27,측정기기,참가증,20230302,F
2,서대문,성인,일반,25,측정기기,참가증,20230302,F
1,화성,성인,일반,52,관리자,3등급,20230302,F
1,연수,청소년,출장,16,관리자,2등급,20230302,F
1,연수,청소년,출장,16,관리자,참가증,20230302,F
1,안산,성인,일반,57,관리자,1등급,20230302,F
1,익산,성인,일반,23,관리자,참가증,20230302,F
1,서구(광주),성인,출장,49,관리자,참가증,20230302,F
1,서구(광주),성인,출장,60,관리자,3등급,20230302,F
1,북구(광주),성인,출장,43,관리자,참가증,20230302,F
2,창원마산회원,성인,일반,27,관리자,2등급,20230302,M
1,남구(부산),성인,일반,32,관리자,2등급,20230302,M
3,의정부,노인,일반,70,관리자,2등급,20230302,M
2,KSPO광주,성인,일반,23,관리자,1등급,20230302,M
2,마포,노인,일반,65,관리자,3등급,20230302,M
3,KSPO대구,성인,일반,19,측정기기,2등급,20230302,M
1,구미,성인,일반,45,관리자,참가증,20230302,M
1,포천,노인,출장,70,관리자,참가증,20230302,F
1,포천,노인,출장,65,관리자,참가증,20230302,F
1,포천,노인,출장,68,관리자,참가증,20230302,F
1,세종,성인,일반,29,관리자,참가증,20230302,M
3,성동,노인,일반,73,관리자,1등급,20230302,M
1,원주,성인,출장,24,관리자,참가증,20230302,M
5,서대문,노인,일반,69,측정기기,2등급,20230302,M
7,미추홀,성인,일반,21,관리자,2등급,20230302,M
2,동작,성인,일반,26,관리자,참가증,20230302,F
1,오산,성인,일반,52,관리자,2등급,20230302,M
1,안산,성인,일반,28,관리자,참가증,20230302,M
3,중구(서울),성인,일반,29,측정기기,2등급,20230302,M
1,강북,성인,일반,23,측정기기,참가증,20230302,F
2,중구(서울),노인,일반,73,측정기기,3등급,20230302,M
1,화성,노인,일반,74,관리자,3등급,20230302,M
2,광주,노인,일반,78,측정기기,3등급,20230302,M
1,서대문,성인,일반,51,관리자,1등급,20230302,F
1,연수,성인,일반,26,측정기기,3등급,20230302,F
